EmployeeID,Department,Role,Age,TenureYears,AnnualSalary,OverTime,MonthsSincePromotion,SatisfactionScore,WorkLifeBalance,PerformanceRating,Status,OT_risk,Satisfaction_risk,Promotion_risk,Pay_risk,WLB_risk,Tenure_risk,RiskScore,RiskBand
EMP00657,Customer Support,Support Manager,26,1.3,533000.0,Yes,35,2.0,1.1,3.3,Active,1.0,0.75,0.5833333333333334,0.6804123711340206,0.975,0.8375,81.6,High
EMP01114,Customer Support,Support Associate,35,1.4,509000.0,Yes,24,2.7,2.2,2.9,Active,1.0,0.575,0.4,0.8041237113402062,0.7,0.825,72.8,High
EMP00035,Operations,Ops Manager,46,2.5,700000.0,Yes,44,3.4,2.1,3.1,Active,1.0,0.4,0.7333333333333333,0.536231884057971,0.725,0.6875,69.7,High
EMP00351,Finance,Financial Analyst,36,0.3,787000.0,Yes,33,2.0,3.1,3.7,Active,1.0,0.75,0.55,0.796875,0.475,0.9625,77.4,High
EMP00735,Sales,Sales Manager,35,1.4,634000.0,Yes,52,4.5,2.5,1.6,Active,1.0,0.125,0.8666666666666667,0.9448529411764706,0.625,0.825,70.5,High
EMP00427,Engineering,Senior Engineer,45,2.7,1018000.0,Yes,54,3.3,3.1,2.3,Active,1.0,0.42500000000000004,0.9,0.8354978354978355,0.475,0.6625,74.0,High
EMP00962,Operations,Process Lead,30,1.0,656000.0,Yes,41,2.4,2.6,4.0,Active,1.0,0.65,0.6833333333333333,0.7222222222222222,0.6,0.875,77.1,High
EMP00681,Sales,Account Manager,39,1.1,764000.0,Yes,32,1.4,1.6,2.6,Active,1.0,0.9,0.5333333333333333,0.5404411764705883,0.85,0.8625,81.1,High
EMP00661,Engineering,Software Engineer,26,1.1,1159000.0,Yes,54,3.1,2.5,3.1,Active,1.0,0.475,0.9,0.4415584415584416,0.625,0.8625,72.7,High
EMP00621,HR,Recruiter,39,3.3,617000.0,Yes,57,3.0,3.3,2.8,Active,1.0,0.5,0.95,0.6984732824427481,0.42500000000000004,0.5875,73.6,High
EMP00362,Sales,Account Manager,21,2.7,708000.0,Yes,21,3.0,3.1,4.7,Active,1.0,0.5,0.35,0.7334558823529411,0.475,0.6625,65.5,High
EMP00041,Operations,Ops Manager,39,3.0,663000.0,Yes,48,3.7,1.2,2.3,Active,1.0,0.32499999999999996,0.8,0.6956521739130435,0.95,0.625,73.5,High
EMP00014,HR,Recruiter,45,3.2,690000.0,Yes,54,4.0,2.2,3.8,Active,1.0,0.25,0.9,0.36641221374045807,0.7,0.6,65.5,High
EMP00400,Operations,Ops Manager,33,4.7,685000.0,Yes,37,3.2,2.6,3.6,Active,1.0,0.44999999999999996,0.6166666666666667,0.6135265700483092,0.6,0.4125,66.9,High
EMP00390,Customer Support,Support Manager,34,2.8,487000.0,Yes,42,4.4,2.6,3.4,Active,1.0,0.1499999999999999,0.7,0.9123711340206185,0.6,0.65,66.7,High
EMP01166,Customer Support,Support Associate,25,1.7,471000.0,Yes,25,3.6,1.6,4.4,Active,1.0,0.35,0.4166666666666667,0.9639175257731959,0.85,0.7875,71.5,High
EMP00749,HR,HR Manager,43,1.5,596000.0,Yes,35,3.0,3.0,3.0,Active,1.0,0.5,0.5833333333333334,0.7748091603053435,0.5,0.8125,71.1,High
